,text,class
689,"the amur animal, a subspecies living at the san diego zoo, exists on the cusp of extinction. the amur animal and tiger alliance and its partner, the wildlife conservancy society, have been monitoring the animals since 1997. cameras also photographed animal prey, including sika deer, boars, and yellow-throated martens.",leopard
690,the population in russia’s primorsky krai has remained mostly stable over the past 30 years. anti-poaching efforts and educational programs appear to be working. china has established a reserve that connects with animal (and tiger) habitat in russia. there is a possibility of establishing a second population by reintroducing zoo-bred amur animals in russia's far east.,leopard
691,"the character bagheera in rudyard kipling’s the jungle book was described as a black panther, which is really a very dark-colored animal. the character was actually a black animal, which was a very different color from black. the jungle book was published in 1903 and is one of the most famous books of all time.",leopard
692,"animals are the smallest members of the large cat category. they grow to only 3 to 62 feet (92 to 190 centimeters) long. males and females vary in weight. animals live in more places than any other large cat. they can live in almost any type of habitat, including rainforests, deserts and woodlands.",leopard
693,"animals are ambush predators; they crouch low to sneak up to their prey and pounce before it has a chance to react. animals have a gestation period of approximately three months and typically give birth to a litter of two to three cubs in a den. each cub weighs just 17 to 21 ounces at birth, is blind and almost hairless.",leopard
694,"animals are classified as near threatened by the iucn's red list of threatened species. their declining population is caused by habitat loss and hunting. one of the rarest animals is the amur animal, which is found in far-east russia, korea and northeast china.",leopard
695,"the genus animalus does not include animals. members of that genus include cats of central and south america, such as ocelots, oncillas, margays, pampas cats, geoffrey's cat, guiñas and andean cats. the animal's spots are called rosettes because they look like roses.",leopard
696,"animal is a member of the new world deer subfamily and is the largest and heaviest extant species in the deer family. most adult male animal have distinctive broad, palmate (""open-hand shaped"") antlers. animal typically inhabit boreal forests and temperate broadleaf and mixed forests of the northern hemisphere in temperate to subarctic climates.",moose
697,"unlike most other deer species, animal do not form herds and are solitary animals. their mating season in the autumn features energetic fights between males competing for a female. alces alces is called a ""animal"" in north american english, but an ""elk"" in british english.",moose
698,"the word ""elk"" has cognates in other indo-european languages, eg elg in danish/norwegian; älg in swedish; alnis in latvian; elch in german; and łoś in polish. in the continental european languages, these forms of the word ""elk"" always refer to alces alces. the youngest elk bones in great britain were found in scotland.",moose
699,"the word ""elk"" is used in north america to refer to a different animal, cervus canadensis, which is also called by the algonquian indigenous name, ""wapiti"" the british began colonizing america in the 17th century, and found two common species of deer for which they had no names. the wapiti appeared very similar to the red deer of europe (which itself was then almost extinct in southern britain) the animal was",moose
700,"the animal was originally called the wapiti by the native americans. in 1736, samuel dale wrote to the royal society of great britain: ""the common light-grey animal, called by the indians, wampoose, and the large or black-animal, which is the beast whose horns i herewith present"" eventually, in north america, the animal became known as an elk.",moose
701,"most animal have antlers that are broad and palmate (flat) with tines (points) along the outer edge. the antlers of mature alaskan adult bull animal (5 to 12 years old) have a normal maximum spread greater than 200 centimeters (79 in) by the age of 13, animal antlers decline in size and symmetry.",moose
702,"in the common animal (a a alces) this branch usually expands into a broad palmation, with one large tine at the base and a number of smaller snags on the free border. there is a scandinavian breed of the commonanimal in which the antlers are simpler and recall those of the east siberian animals.",moose
703,"perukes are constantly growing, tumor-like antlers with a distinctive appearance similar to coral. the distinctive-looking perukes (often referred to as ""devil's antlers"") are the source of several myths and legends among many groups of inuit as well as several other tribes of indigenous peoples of north america. in extremely rare circumstances, a cow animal may grow antlers.",moose
704,"the animal foot is intermediate between that of the pronghorn foot and the caribou foot. the animal hoof splays under load, increasing surface area, which limits sinking of the animal's foot into soft ground or snow. their fur consist of two layers; top layer of long guard hairs and a soft wooly undercoat.",moose
705,"an adult animal stands 14–21 m (46–69 ft) high at the shoulder. males (or ""bulls"") normally weigh from 380 to 700 kg (838 to 1,543 lb) and females (or ‘cows’) typically weigh 200 to 490 kg (441 to 1,.080 lb) the largest of all the races is the alaskan subspecies (a a gigas), which can stand over 21 m (69 ft",moose
706,"the animal is a browsing herbivore and is capable of consuming many types of plant or fruit. the average adult animal needs to consume 409 mj (9,770 kcal) per day to maintain its body weight. a typical animal, weighing 360 kg (794 lb), can eat up to 32 kg (71 lb) of food per day.",moose
707,"animal can reach branches up to 426 meters (140 ft) or higher above the ground. animal are excellent swimmers and are known to wade into water to eat aquatic plants. like giraffes, animal carefully select foods with less fiber and more concentrations of nutrients.",moose
708,"animal cannot digest hay, and feeding it to a animal can be fatal. killer whales (orcinus orca) are the animal's only known marine predator. brown bears are the only predator besides the wolf to attack animal both in eurasia and north america.",moose
709,"wolf packs primarily target calves and elderly animals, but can and will take healthy, adult animal. animal between the ages of two and eight are seldom killed by wolves. studies suggest that animal learn quickly and adapt, fleeing an area if they hear or smell wolves, bears, or scavenger birds such as ravens.",moose
710,"animal typically carry a heavy burden of parasites, both externally and internally. parasitosis is an important cause of animal morbidity and mortality. males are polygamous and will seek several females to breed with. males produce heavy grunting sounds that can be heard from up to 500 meters away. males will fight for access to females.",moose
711,"animal are not usually aggressive towards humans, but can be provoked or frightened to behave with aggression. in the americas, animal injure more people than any other wild mammal, and worldwide, only hippopotamuses injure more. animal populations are stable at 25 calves for every 100 cows at 1 year of age. with availability of adequate nutrition, mild weather, and low predation, moie have a huge potential for population expansion.",moose
712," animal are unpredictable wild animals. they are most likely to attack if annoyed or harassed, or if approached too closely. a animal that has been harassed may vent its anger on anyone in the vicinity. animal are very limber animals with highly flexible joints and sharp, pointed hooves.",moose
713,"animal are fully capable of killing bears and wolves. a animal of either sex that is confronted by danger may let out a loud roar, more resembling that of a predator than a prey animal. european animal are often more aggressive than north american animal, such as the animal in sweden.",moose
714,"animal avoid areas with little or no snow as this increases the risk of predation by wolves. animal avoid deep snow, as this impairs mobility. with reintroduction of bison into boreal forest, there was some concern that bison would compete with animal for winter habitat, and thereby worsen the population decline of animal. however, this does not appear to be a problem.",moose
715,"in north america, the animal range includes almost all of canada, most of alaska, northern new england and upstate new york. the upper rocky mountains, northern minnesota, northern wisconsin, michigan's upper peninsula, and isle royale in lake superior are animal strongholds.",moose
716,"animal are the largest of all the deer species. males are immediately recognizable by their huge antlers, which can spread 6 feet from end to end. they have long faces and muzzles that dangle over their chins. in summer, food is far more plentiful in the northern regions of north america, europe, and asia.",moose
717,"males, called bulls, bellow loudly to attract mates each september and october. the usually solitary bulls may come together at this time to battle with their antlers for mating supremacy. after mating, the two sexes go their separate ways until the following year though they may occasionally feed in the same grounds, they tend to ignore each other.",moose
718,"animal are the largest members of the deer family, standing six feet (18 meters) tall from hoof to shoulder. they are found in the northern regions of the united states, from maine to washington, throughout canada, and into alaska. due to their large size and insulating fur, animal are limited to cold climates.",moose
719,"animal are in jeopardy across the united states, from new hampshire, vermont, and maine; to minnesota and michigan; and even montana. heat stress leads to dropping weights, a fall in pregnancy rates, and increased vulnerability to disease. animal can live more than 20 years in the wild, but many begin to suffer the symptoms of old age before then.",moose
720,"new hampshire animal population has plummeted by more than 40 percent in the last decade from more than 7,500 animal to just 4,000 today. warmer winters have also caused spikes in the tick populations, further devastating the animal populations. wildlife-associated expenditures bring in hundreds of millions of dollars to states like new hampshire.",moose
721,"animal are browsers, feeding on the leaves and twigs of trees and shrubs. male animal grow a set of antlers each year during the spring and summer. despite their large size, animal can run at over 35 miles per hour. animal are excellent swimmers, able to hold their breath underwater for 30 seconds.",moose
722,"facts about animal. there are more animal in sweden per square kilometer than any other country in the world. nearly 100,000 animal are shot each year during the hunting season in sweden. the population has decreased a lot since the 1980’s when the population was larger than ever.",moose
723,"animal are solitary and do not live in families or herds. the annual rut/mating season occurs during the end of september and beginning of october. the animal offspring is called a calf after a gestation period of 8 months (235 days) the cow gives birth to one or two calves, sometimes even three. the calf weighs 8-15 kilograms at birth and gain 1,5 kilograms per day.",moose
724,"this page is all about animal in sweden, but animal is actually in north american english. the swedish word for animal is älg and in british english the same species is actually elk elk is same species as animal, alces alces. in north america another member of the deer family, the wapiti, is often referred to as elk.",moose
725,"european elk, also called european animal, is the same species as the american animal. american animal, which is thesame species as european elk, just two different names. european elk is not the same species as american elk. american elk is the same species as the european elk.",moose
726,"animal are the largest land mammal in new hampshire. animal have keen senses of smell and hearing, but they're also near-sighted. animal occur in alaska, canada, northern us from washington across to northern new england, and the northern rockies south to utah. animal were more common than deer in new england before european settlement.",moose
727,"by the mid-1800s, fewer than 15 animal existed in new hampshire. the animal herd didn't begin to rebound noticeably until the early 1970s. today animal occur in all ten counties, with the highest densities in the great north woods. the breeding season or rut extends from mid-september through mid-october.",moose
728,"animal may live 20 years, but average lifespan is 10-12 years they die from various causes. black bear are a significant predator on animal calves until calves are nine weeks old. one animal can carry 10,000 to 120,000 ticks. anemia is the primary cause of death due to winter tick infestation.",moose
729,"animal are primarily browsers feeding on leaves, twigs, and buds of hardwood and softwood trees and shrubs. a healthy animal will eat 40-60 pounds of browse daily. to avoid collisions with animal, scan the sides of the roads, as well as the roadway itself; drive 55 mph or less; and slow down and be ready to brake for animal.",moose
730,"animal are fun to watch, but safe animal viewing is essential; watch from a safe and respectful distance. large clear cuts (more than 100 acres) don't benefit animal as much as smaller, dispersed cuts. a mosaic of mature mixed wood (primarily hardwoods with a softwood component) and regenerating clear-cuts or burned areas offers good animal habitat.",moose
731,"animal is an icon of the maine woods, maine is home to the highest animal population in the lower 48 states. the scientific name for animal is alces alces americana. origin of the word animal comes from the algonquin word ‘moosu’ meaning ‘bark stripper’",moose
732,"the largest member of the deer family, animal stand up to seven feet tall, sporting dark brown fur and a shoulder hump. female animal (35+ years old) average 836 pounds and the average prime age (55+) adult bull weighs 1,106 pounds. the largest bull ever harvested in maine had a dressed weight of 1,330 pounds.",moose
733,"antlers on cows are extremely rare. a bull's antler spread rarely exceeds 65 inches and a spread of 55 inches is considered large. a cow's nutritional condition, or body weight, determines the number of calves born and when a cow first breeds. animal continue to breed into their teens but may be less productive.",moose
734,"the average life expectancy for animal in maine is eight years. animal are vulnerable to predators such as coyote and bear. they can also perish from legal and illegal harvest, road kills, other accidents (drowning, falls, etc), disease, starvation, and old age. winter ticks are also threatening maine’s animal population.",moose
735,"animal population declined in the 1900's due to hunting and clearing forestland for farming. in 2000, a big game working group developed goals and objectives to guide animal management in maine until reassessment in 2015. climate change has begun to influence the success and proliferation of winter tick, leading to poor reproduction.",moose
736,the current animal management goals and objectives for 2017-2027 are: road safety: reduce the population significantly to reduce animal/vehicle accidents. compromise: reduce the population by 1/3 to reduceanimal/vehicle accidents and maintain some quality recreational opportunities.,moose
737,"maine’s goal is to stabilize the moose population in the core of its range (wmds 1-11 & 19) the goal is also to maintain a world class moose hunt in maine's core moose range. the goal also is to increase the public’s understanding of moose biology, ecology and management.",spider+monkey
738,"animals are new world animals belonging to the genus ateles, part of the subfamily atelinae, family atelidae. they are found in tropical forests of central and south america, from southern mexico to brazil. animals live in the upper layers of the rainforest, and forage in the high canopy, from 25 to 30 m.",spider+monkey
739,"animals are among the largest new world animals. the population trend for animals is decreasing. animals are susceptible to malaria and are used in laboratory studies of the disease. the iucn red list lists one species as vulnerable, five species as endangered and one species of animal as critically endangered.",spider+monkey
740,"animals are highly agile, and they are said to be second only to the gibbons in this respect. they have been seen in the wild jumping from tree to tree. female animals have a clitoris that is especially developed. their tails may be up to 89 cm (35 in) long, and have hairless tips and skin grooves similar to fingerprints.",spider+monkey
741,"the brown animal is threatened by hunting and habitat loss. animals form loose groups, typically with 15 to 25 individuals. males tend to stick together for their whole lives. the strongest social bonds are formed between females and their young offspring. when a animal sees a human approaching, it barks loudly similar to a dog.",spider+monkey
742,"animals are diurnal and spend the night sleeping in carefully selected trees. groups are thought to be directed by a lead female, which is responsible for planning an efficient feeding route each day. the animal brain is twice the size of the brain of a howler animal of equivalent body size.",spider+monkey
743,"animals eat fleshy fruits 71 to 83 percent of the time. they eat the fruits of many big forest trees, and because they swallow fruits whole, the seeds are eventually excreted and fertilized by the feces. their diet changes their reproductive, social, and physical behavioral patterns.",spider+monkey
744,"mothers are very protective of their young and are generally attentive mothers. male animals are one of the few primates who do not have a penis bone (baculum) animals are found in many aspects of the mesoamerican cultures. in present-day maya religious feasts, animal impersonators serve as a kind of demonic clowns.",spider+monkey
745,"animals live in the tropical rain forests of central and south america and occur as far north as mexico. they have long, lanky arms and prehensile (gripping) tails that enable them to move gracefully from branch to branch and tree to tree. they are social and gather in groups of up to two- or three-dozen animals.",spider+monkey
746,logging and deforestation continue to shrink the space that animals are able to call home. animals can let go with their arms and hang by their tail as they play and wrestle with each other. baby animals also wrap their tiny tail around their mother's tail for security as they ride around on her back.,spider+monkey
747,the black animal is found in eastern south america in areas north of the amazon river. they are one of seven species of animals found in latin america and one of the largest primate species in south america. the species is also known as the guiana or red-faced animal.,spider+monkey
748,"animals live in forests from southern mexico through central and south america to brazil. they are large, extremely agile animal that lives in forests. the seven species of true animals are classified in the genus ateles. animals weigh about 6 kg (132 pounds) and are 35–66 cm (14–26 inches) long.",spider+monkey
749,"animals are dextrous with their tail as well as their hands. they pick up objects with the tail, and they hang from branches by using the tail alone alone. animals are widely hunted for food by local people. some of their population decline has been attributed to hunting pressure.",spider+monkey
750,animals are susceptible to malaria and are used in laboratory studies of the disease. animals are also used in studies of malaria in the wild. the animals are used to carry out research on malaria in africa. the animal is also used for research in the field of malaria research.,spider+monkey
751,"animals have slender bodies with long, thin limbs and are usually all black. they have exceptionally long tails in relation to their body length, which averages from 16-21” with the tail being 28-34” animals live in large, relatively unstructured communities of up to 100 individuals.",spider+monkey
752,"the animal can be up to 21 inches long, with another 34 inches added for the tail. sonny is the dominant male of the group, and he and the others can be seen year round in their indoor or outdoor exhibit. in the wild, animals can live up to 25 years, and in captivity they can live to 40 years.",spider+monkey
753,"black animals are one of the largest primates in south america. they exhibit anatomical and locomotory adaptions not unlike those of apes. the population is estimated to have fallen by 30% over 45 years. this information has been reviewed by dr meg symington, director, latin america and caribbean, wwf-us.",spider+monkey
754,"animals are ideally suited for a life in the canopies of the forest. they have long limbs and flexible shoulder joints that enable them to move easily from branch to branch. they are primarily arboreal and even sleep in the tree tops. living loosely organized in groups of 4 to 25 individuals, they are usually led by the alpha female.",spider+monkey
755,animals are very intelligent and have an impressive memory. infants are not entirely independent until 36 months old sexual maturity occurs at 4-5 years of age. the brown-headed animal is considered endangered and the black-handed animal is considered vulnerable. both are at risk primarily due to habitat loss and the bush-meat trade.,spider+monkey
756,"the animal is an ssp animal. it is found in mexico, central america, and parts of northern south america. the major threat to this species is habitat loss. it also faces threats from the illegal pet trade and hunting. the animal's long prehensile tail is used as extra hand. the strong tail can hold on to virtually anything.",spider+monkey
757,"animal is a species of baleen animal. it is one of the larger rorqual species, with adults ranging in length from 12–16 m (39–52 ft) and weighing around 25–30 t (28–33 short tons) the animal has a distinctive body shape, with long pectoral fins and a knobbly head. males produce a complex song lasting 10 to 20 minutes.",humpback+whale
758,"animals are rorquals, members of the balaenopteridae family that includes the blue, fin, bryde's, sei and minke animals. the species was once hunted to the brink of extinction; its population fell by an estimated 90% before a 1966 moratorium. numbers have partially recovered to some 80,000 animals worldwide.",humpback+whale
759,"the animal was first identified as baleine de la nouvelle angleterre by mathurin jacques brisson in his regnum animale of 1756. in 1781, georg heinrich borowski described the species, converting brisson's name to its latin equivalent, balaena novaeangliae. in 1804, lacépède shifted the animal from the family balaenidae, renaming it b jubartes.",humpback+whale
760,"animals can easily be identified by their stocky body, obvious hump, black dorsal coloring and elongated pectoral fins. the head and lower jaw are covered with knobs called tubercles, which are hair follicles and are characteristic of the species. the fluked tail, which typically rises above the surface when diving, has wavy trailing edges.",humpback+whale
761,the animal's pectoral fins are proportionally the longest fins of any cetacean. the long black and white tail fin can be up to a third of body length. the varying patterns on the tail flukes distinguish individual animals. animals occasionally defend other animals against attack by predators.,humpback+whale
762,"the lifespan of rorquals ranges from 45 to 100 years. unrelated males, dubbed escorts, frequently trail females, as well as cow-calf pairs. males gather into competitive groups around a female and fight for the right to mate with her. animal song is thought to have an important role in inducing estrus in females.",humpback+whale
763,"females typically breed every two or three years. the gestation period is 115 months. the peak months for birth are january and february in the northern hemisphere, july and august in the southern hemisphere. animals hybridize with other rorquals, such as blue, fin, minke, gray and sperm animals.",humpback+whale
764,"both male and female animals vocalize, but only males produce the long, loud, complex ""song"" for which the species is famous. each song consists of several sounds in a low register, varying in amplitude and frequency and typically lasting from 10 to 20 minutes. individuals may sing continuously for more than 24 hours.",humpback+whale
765,"only males sing, suggesting one purpose is to attract females or to induce estrus in the females. many of the animals observed to approach a singer are other males, often resulting in conflict. some scientists have hypothesized the song may serve an echolocative function. animals inhabit all major oceans, in a wide band running from the antarctic ice edge to 81°n[56] latitude.",humpback+whale
766,"animals have year-round presences in british and norwegian waters. in the north atlantic, feeding areas range from scandinavia to new england. breeding occurs in the caribbean and cape verde. about 10% of world population possibly migrate to the gulf of guinea. animals are also showing signs of re-expanding into former ranges.",humpback+whale
767,"a large population spreads across the hawaiian islands every winter, ranging from the island of hawaii in the south to kure atoll in the north. in australia, two main migratory populations were identified, off the west and east coasts. in panama and costa rica, animals come from both the southern hemisphere (july–october with over 2,000 animals) and the northern hemisphere (december–march numbering about 300)",humpback+whale
768,"the first modern mortality of the species in the philippines was in 2007. in 2020, a animal was spotted wandering in the saint lawrence river at montreal. in asia, the marshall islands and vietnamese, taiwanese and chinese coasts show slow or no obvious recovery. unconfirmed sightings have been reported near borneo in modern times.",humpback+whale
769,"sightings reported off green and orchid islands indicate recoveries as winter foraging has not occurred. sightings, including of a cow-calf pair, have occurred along the east coast of taiwan. hachijo-jima is the northernmost breeding ground in the world, north of breeding grounds such as amami ōshima, midway island and bermuda.",humpback+whale
770,"animals feed primarily in summer and live off fat reserves during winter. they feed only rarely and opportunistically in their wintering waters. the animal is an energetic hunter, taking krill and small schooling fish. krill and copepods are prey species in australian and antarctic waters. they have been documented opportunistically feeding near fish hatcheries in southeast alaska.",humpback+whale
771,"animals use two main behaviors to create bubble-netting; upward spirals and double loops. upward spirals involve the animals blowing continuously as they circle towards the surface, creating a spiral of bubble. double loops consist of a deep, long loop that corrals the prey followed by tail slaps (lobtailing) at the surface and then a smaller loop that serves to make the final capture.",humpback+whale
772,", published a documented incident they had recorded in 2019 in the journal ""marine and freshwater research"" of a group of great white sharks exhibiting pack-like behavior to successfully attack and kill a live adult animal. the sharks utilized the classic attack strategy they utilized on pinnipeds such as seals and sea lions when attacking the animal, even utilizing the bite-and-spit tactic they employ on said prey items. the incident is the first known documentation of great whites",humpback+whale
773,"commercial animal whaling was banned in 1966. the ban has remained in force since 1966. as of 2004, hunting was restricted to a few animals each year off the caribbean island of bequia in the nation of st vincent and the grenadines. japan had planned to kill 50 animals in the 2007/08 season under its jarpa ii research program.",humpback+whale
774,"animal, minkes, sperm and many other smaller odontoceti, including critically endangered species such as north pacific right, western gray and northern fin, have been targets of illegal captures in japan. animal meat can be found in markets. hawaii uses the concept of ""ecotourism"" to benefit from the species without killing them.",humpback+whale
775,"the st. lawrence river, the snaefellsnes peninsula in the west of iceland, and the isla iguana in panama, ecuador are among the places featured in the book. the book is also published in the u.s. states of california, alaska, oregon, washington, british columbia, and alaska.",humpback+whale
776,"animals are found in every ocean in the world. their latin name, megaptera novaeangliae, means ""big wing of new england"" animals migrate annually from summer feeding grounds near the poles to warmer winter breeding waters closer to the equator.",humpback+whale
777,"animals are powerful swimmers, and they use their massive tail fin, called a fluke, to propel themselves through the water and sometimes completely out of it. scientists aren't sure if this breaching behavior serves some purpose, such as cleaning pests from the animal's skin, or whether animals simply do it for fun.",humpback+whale
778,"animals are the virtuosos of the deep, singing some of the longest and most complex songs in the animal kingdom. their huge, dark bodies are flanked by enormous pectoral flippers growing up to around a third of their body length. they are covered in funny knobbles or bumps, and contain a single hair acting like a cat’s whiskers.",humpback+whale
779,"animals are known for their underwater lullabies. half of the year is spent in polar waters like norway, feeding and fatten up. then head to warmer, shallow tropical waters, socialising, mating and looking after their young calves. male animals are particularly vocal during the mating season.",humpback+whale
780,"animals are found in all the world’s major oceans. most populations undertake huge annual migrations. they move between mating and calving grounds in warmer, tropical waters, and feeding grounds in colder, more bountiful waters. unfortunately, animals were hunted extensively in years gone by, and still are in some places.",humpback+whale
781,"animals usually range from 12 to 16 metres (39 to 52 feet) in length and weigh approximately 36 metric tons (40 short [us] tons) animals use a unique method of feeding called bubblenetting, in which bubbles are exhaled as the animal swims in a spiral below a patch of water dense with food.",humpback+whale
782,"animals are the most vocal of all animals. they make a great variety of sounds, from moans and cries to groans and snores. the animals string these together to form “songs” lasting 5–35 minutes. the animal is also one of the most acrobatic cetaceans.",humpback+whale
783,"animals have been protected worldwide from commercial whaling since the mid-1960s. the animals migrate from antarctica to warmer waters of australia. the animal is the only species in the genus megaptera. it is related to other rorquals of the family balaenopteridae, including the blue animal, fin animal, and sei animal.",humpback+whale
784,"animals belong to the family of baleen wheels, which have a series of curtain-like filters in their mouths instead of teeth. animals will usually do all of their feeding in the summer months, living off of their reserves of fat during the winter.",humpback+whale
785,"animals on average live about 50 years, although there have been indications of much longer lifespans in the species – as much as 100 years in rare cases. there are an estimated 80,000 animals alive today, breaking down in population as: 20,000 in the north pacific, 12,000  in thenorth atlantic, 50,000+ in the southern hemisphere.",humpback+whale
786,"animals and other animals sing by forcing air through their nasal cavities. while both males and females sing, only the males sing the especially long songs that can typically last for up to 20 minutes. scientists aren’t sure what the songs mean specifically, whether it’s to woo females, challenge males, or if they serve as a form of echolocation to find food.",humpback+whale
787,"animals are mainly black or grey with white undersides to their flukes, flippers and bellies. they are 15m long and are extremely active, often slapping their flippers on the surface of the sea. animals often feed in large groups and are famous for their ""song""",humpback+whale
788,"animals are baleen animals, which means they filter their food through baleens. they are found in summer feeding areas off iceland, southern greenland, norway, svalbard and the eastern seaboard of canada and the united states. they migrate south to the caribbean and south from the southern bahamas to grenada, the grenadines and venezuela.",humpback+whale
789,"animal is a paraphyletic group. for close extinct relatives, see animalidae for other uses, see animal (disambiguation)animals are the largest existing land animals. three living species are currently recognised: the african bush animal, the african forest animal, and the asian animal. animalidae is the only surviving family of proboscideans.",elephant
790,"animals are scattered throughout sub-saharan africa, south asia, and southeast asia. they live in different habitats, including savannahs, forests, deserts, and marshes. animals have a fission–fusion society, in which multiple family groups come together to socialise.",elephant
791,"animals are highly recognisable and have been featured in art, folklore, religion, literature, and popular culture. they are used as working animals in asia. in the past, they were used in war; today, they are often controversially put on display in zoos. other threats to wild animals include habitat destruction and conflicts with local people.",elephant
792,"animalidae belong to the family animalidae, the sole remaining family within the proboscidea. their closest relatives are the manireniren and the hyraxes. they share the clorder afrotheria with which they share the superorder paenungulata. animalidae was borrowed from old french oliphant.",elephant
793,"african animals have larger ears, a concave back, more wrinkled skin, a sloping abdomen, and two finger-like extensions at the tip of the trunk. asian animals have smaller ears and a convex or level back, smoother skin and a horizontal abdomen that occasionally sags in the middle.",elephant
794,proboscidean diversity declined during the oligocene. the first radiation was represented by the emergence of the gomphotheres. the second radiation saw the appearance of the deinotheres and the mammutids. the third radiation started in the late miocene and led to the arrival of the animalids.,elephant
795,"proboscideans experienced several evolutionary trends, such as an increase in size, which led to many giant species that stood up to 500 cm (16 ft 5 in) tall. the skull grew larger, especially the cranium, while the neck shortened to provide better support for the skull. the feet were originally plantigrade and developed into a digitigrade stance with cushion pads and the sesamoid bone providing support.",elephant
796,"animals are the largest living terrestrial animals. animals retain certain features from their aquatic ancestry, such as their middle ear anatomy. african bush animals are the biggest species, with males being 304–336 cm tall at the shoulder with a body mass of 5.",elephant
797,"male asian animals are usually about 261–289 cm (8 ft 7 in–9 ft 6 in) tall at the shoulder with a body mass of 26–35 t (29–39 short tons) african forest animals are the smallest species, with males usually being around 209–231 cm (6 ft 10 in–7 ft 7in) tall. male african bush animals are typically 23% taller than females, whereas male asian animal are only around 15% taller.",elephant
798,"the eye relies on the harderian gland to keep it moist. animals are capable of hearing at low frequencies and are most sensitive at 1 khz. the ear flaps, or pinnae, contain numerous blood vessels called capillaries. the trunk, or proboscis, is a fusion of the nose and upper lip.",elephant
799,"animal trunks have multiple functions, including breathing, olfaction, touching, grasping, and sound production. it contains up to 150,000 separate muscle fascicles, with no bone and little fat. the trunk's ability to make powerful twisting and coiling movements allows it to collect food, wrestle with other animals, and lift up to 350 kg (770 lb)",elephant
800,"animals usually have 26 teeth: the incisors, known as the tusks, 12 deciduous premolars, and 12 molars. unlike most mammals, animals grow baby teeth and then replace them with a single permanent set of adult teeth. animals are polyphyodonts that have cycles of tooth rotation throughout their lives.",elephant
801,"the tusks of an animal are modified second incisors in the upper jaw. they replace deciduous milk teeth at 6–12 months of age and grow continuously at about 17 cm (7 in) a year. the dentine is known as ivory and its cross-section consists of crisscrossing line patterns, known as ""engine turning"", which create diamond-shaped areas.",elephant
802," animal tusks are used for digging for water, salt, and roots; debarking or marking trees; and for moving trees and branches when clearing a path. the dominant tusk, called the master tusk is generally more worn down, as it is shorter with a rounder tip. for the african animals, tusk are around the same length in both sexes, reaching up to 300 cm (9 ft 10 in)",elephant
803,"animals typically have grey skin, but african animals look brown or reddish after wallowing in coloured mud asian animals have some patches of depigmentation, particularly on the forehead and ears and the areas around them. the skin around the mouth, anus, and inside of the ear is considerably thinner animals have difficulty releasing heat through the skin because of their low surface-area-to-volume ratio.",elephant
804,"animals have soft tissues or ""cushion pads"" beneath the manus or pes, which distribute the weight of the animal. they appear to have a sesamoid, an extra ""toe"" similar in placement to a giant panda's extra ""thumb"", that also helps in weight distribution. as many as five toenails can be found on both the front and hind feet. animals use only two gaits when moving on land: the walk",elephant
805,animals are capable swimmers. they have been recorded swimming for up to six hours without touching the bottom. the brain of an animal weighs 45–55 kg (10–12 lb) compared to 16 kg (4 lb) for a human brain. an animal's brain already weighs 30–40% of its adult weight.,elephant
806,"the animal has a double-pointed apex, an unusual trait among mammals. the ventricles separate near the top of the heart, a trait they share with sirenians. the heart rate speeds up by 8 to 10 beats per minute when the animal is lying down. animals inhale mostly through the trunk, although some air goes through the mouth.",elephant
807,"animals have a unique organ, the temporal gland, located in both sides of the head. the vulva is located between the hind legs instead of near the tail as in most mammals. animals are homeotherms, and maintain their average body temperature at 36 °c.",elephant
808,"asian animals prefer areas with a mix of grasses, low woody plants, and trees. asian animals primarily inhabiting dry thorn-scrub forests in southern india and sri lanka and evergreen forests in malaya. the species is also found in southern sri lanka, southern india, and southern malaysia.",elephant
809,"animals are the largest land mammals on earth and have massive bodies, large ears, and long trunks. animals use their trunks to pick up objects, trumpet warnings, greet other animals, or suck up water for drinking or bathing, among other uses. animal tusks serve many purposes and can be used to protect the animal's trunk, lift and move objects, and gather food.",elephant
810,"led by a matriarch, animals are organized into complex social structures of females and calves. female calves may stay with their maternal herd for the rest of their lives, while males leave the herd as they reach puberty. forest animals' social groups differ slightly and may be comprised of only an adult female and her offspring. they may congregate in larger groups in forest clearings where resources are more abundant.",elephant
811,"african animals are the largest land animals on earth. savanna animals are larger animals that roam the plains of sub-saharan africa. forest animals are smaller animals that live in the forests of central and west africa. both species are at risk of extinction, according to the international union for the conservation of nature.",elephant
812,"animals are fond of water and enjoy showering by sucking water into their trunks and spraying it all over themselves afterwards, they often spray their skin with a protective coating of dust. the trunk alone contains about 40,000 muscles. african animals have two fingerlike features on the end of their trunk that they can use to grab small items.",elephant
813,"animals are matriarchal, meaning they live in female-led groups. animals have a longer pregnancy than any other mammal—almost 22 months cows usually give birth to one calf every two to four years at birth, animals already weigh some 200 pounds and stand about three feet tall.",elephant
814,"african animals are losing their habitat as the human population grows and people convert land for agriculture and development animals need a lot of room, so habitat destruction and fragmentation makes it harder for them to find food, water, and each other. it also puts them in increased conflict with humans.",elephant
815,"animals recognize themselves in a mirror, something few animals are known to do. african animals can eat up to 300 pounds of food a day. animal family members show signs of grief and may revisit the bones of the deceased for years, touching them with their trunks. the suffering of animals is tied to that of the humans living nearby.",elephant
