,text,class,class_num
1822,homemade scent cleaning solutions are being available that have ingredients that together will get rid of the smell of a animal. some dog park owners now prefer a homemade solution. there are several now reliable cleaning gel solutions available but that are generally easy to use. the ingredients for these cleaning solutions can normally be found at amazon. com.,skunk,10.0
1814,"animals can dive down to depths of hundreds of meters. their blood can absorb much more oxygen than human blood. they can lower their heart rate tremendously during the dive, from 40 to less than 1 beat per minute. this means they don’t need to breathe as often.",seal,23.0
2077,logging and deforestation all continue to shrink the space that animals cannot are able to call home. animals each can let go with their arms and can hang by their tail as if they play and wrestle with each other. our baby animals also must wrap their tiny tail around their mother'′ s tall tail for security as they ride her around on her back.,spider+monkey,16.0
2601,"prey animals are the large, semiaquatic rodents in the genus castor native to in the temperate northern hemisphere. though there are presently two extant species : the north temperate american animal ( genus castor canadensis ) and the eurasian wild animals ( c fiber ) animals are probably the second - largest living rodents after prey the capybaras.",beaver,3.0
2802,"animals are known generally to defend themselves against larger predators by using their incisors that which are large in size. animals also carry their children to safety quickly by first putting them in the pouches in their large mouths. local animal diet includes seeds, nuts, whole grains, fruits, vegetables, and cracked corn. they also eat small insects, lizards birds as well as many other small animals.",hamster,25.0
1424,the siberian animal is the largest of the group growing to 105 feet long or longer. the sumatran animal is known as the smallest classification of the species weighing around 260 pounds. some bengals and siberian animals have a recessive gene that causes them to have a white coat with black stripes. the bengal is the most plentiful of all the subspecies.,tiger,12.0
2695,"the waterbuck is the larger of the two kobus spp and has a waterproof coat that is impregnated with grease. the water chevrotain (hyemoschus aquaticus) is a member of the tragulidae, an artiodactyl family closely related to eurasian cervids.",Antelope,0.0
1241,"the global population of reticulated animals gc arabia reticulata has dropped by perhaps an alarming 80 points percent in just 10 years, most likely driven due to poaching. the nigerian animal range is found in fairly just one area southeast of niger, and therefore it is considered the rarest of these the animal.",giraffe,30.0
1030,"the animal is essentially associated with forest habitats. animal populations thrive where populations of wild cervids, bovids and suids are stable. it now mainly occurs in the indian subcontinent, the indochinese peninsula, sumatra and the russian far east. in china and myanmar, breeding populations rely on immigration from neighbouring countries.",tiger,12.0
1522,"the word animal has been applied at times to species that are not cervids, such as the musk animal (moschus) and mouse animal (tragulus) in all but one species of animal, males carry antlers; in the reinanimal (rangifer tarandus), both sexes carry antler. the single antlerless form, the chinese water animal (hydropotes inermis), reflects an earlier pre-antler condition.",deer,39.0
960,"the animal dog is a natural protector and so adaptable and intelligent that he has performed just about every job known to dog. from his imposing size to his erect ears and dark, intelligent eyes, he has achieved legendary status as the ideal canine. the animal has done just aboutevery job a dog can do, from leading the blind and detecting illicit drugs to bringing down fleeing criminals and serving in the armed forces.",german+shepherd,7.0
2239,"animales have basically a disjointed circumpolar distribution. two subspecies are recognized, one in the pacific and the likely other in the atlantic. animales are cinnamon brown in colour. their metabolic flow rate practically requires for heavier animales to each eat roughly a 70 thousand kg ( 154 hundred pounds ) of mussels per single day, which corresponds to about 282 mars bars!",Walrus,46.0
1671,"animals are critically endangered. scientists estimate that there are no more than 4,500 animals in the world. in the early 1970s, india began passing laws against killing animals. many countries around the world, including the us, have passed laws to stop the sale of products made from animal parts.",tiger,12.0
2514,"animals should enjoy cold dahl weather, warm but some cannot live outside in it. animals tend to stay in good weight, heat and may need to be regularly fed a balanced diet. games and tricks provide needed mental exercise for the dog. trained animal grooming only requires a brushing session done once or twice a week.",collie,45.0
117,"most rhinos are gray or brown in colour, including the white animal, which tends to be paler than the others. adults of larger species weigh 3–5 tons. the feet of the modern species have three short toes, tipped with broad, blunt nails.",rhinoceros,27.0
1947,cnn.com will feature ireporter photos in a weekly travel snapshots gallery. please submit your best shots of the u.s. for next week. visit cnn.com/travel next wednesday for a new gallery of snapshots. visit the gallery for a weekly selection of snapshots from across the globe.,siamese+cat,9.0
1415,"animals are cre­pus­cu­lar and have an in­ter­rupted sleep­ing pat­tern that com­pli­ments this dur­ing the sum­mer, animals graze in morn­ing or evenings to avoid mid-day high tem­per­a­tures. they sleep in seg­ments through­out the day, which are usu­ally not more than two hours long.",horse,6.0
377,"animals are about twice the size of a house of mouse pet and up grow to nearly 20cm cm long. they live in woods, low woods and rough grassy banks, absent internationally from ireland. animals eat mainly voles rats and mice, some of the which may be safely caught in their burrows.",weasel,34.0
821,"facts about animal. there are more animal in sweden per square kilometer than any other country in the world. nearly 100,000 animal are shot each year during the hunting season in sweden. the population has decreased a lot since the 1980’s when the population was larger than ever.",moose,15.0
1483,"animals are normally a woodland dwelling creature that can stop at a person in gaining his or or her tracks as fast simply as killing the smaller animal. the animal's defense is so effective locally that it is seldom attacked ; however, coyotes and especially the great - horned owl do occasionally kill and eat the small mammal.",skunk,10.0
2933,"animals can become a problem if their eating habits, and dam or den building activity, flood or damage property. to prevent conflicts or remedy existing problems, choose and place plants carefully. to control animal damage, you have three control options: prevention, animal translocation, or lethal control.",beaver,3.0
3199,"animal are believed to have evolved from antlerless, tusked ancestors that resembled modern duikers and diminutive animal in the early eocene. they gradually developed into the first antlered cervoids in the miocene. with the development of antlers, the tusks as well as the upper incisors disappeared. evolution of animal took nearly 30 million years.",deer,39.0
1323,"the animal's fur is generally soft and thick, notably softer on the belly than on the back. its skin colour varies between individuals from pale yellowish to dark golden with dark spots grouped in rosettes its belly is whitish and its ringed tail is shorter than its body its pupils are round.",leopard,14.0
3140,"red animales are hunted for sport, though not extensively. a new red coat usually grows in by the end of the first month. some red animales can be golden, reddish-brown, silver, or even black. both parents care for their young through the summer before they are able to strike out on their own.",fox,21.0
2089,"animals used to be commonly poisoned when using strychnine. even today they are occasionally killed as exotic pests. this also is done by trapping, which can be equally cruel. livestock animals also can be beneficial to man, particularly preying on many harmful insect larvae. african animalhills are the characteristic and easy to recognise field sign to record the presence of animals.",mole,11.0
3312,red animales are solitary animals and often do clearly not form loose packs like wolves. they only are at least partly territorial. top climbing speed is currently about 48 thousand km / h and obstacles as high as 2 and m can be lept. red animales remain alone in the same home range for a life.,fox,21.0
2463,"the name ""pinniped"" derives from the latin words pinna ""fin"" and pes, pedis ""foot"" animals produce a number of vocalizations, notably the barks of california sea lions, the gong-like calls of walruses and the complex songs of weddell animals. the japanese sea lion and the caribbean monk animal have become extinct in the past century. the mediterranean monk animal and hawaiian monk animal are ranked endangered by the international union for",seal,23.0
324,the population in russia’s primorsky krai has remained mostly stable over the past 30 years. anti-poaching efforts and educational programs appear to be working. china has established a reserve that connects with animal (and tiger) habitat in russia. there is a possibility of establishing a second population by reintroducing zoo-bred amur animals in russia's far east.,leopard,14.0
2474,a female animal in the nouabalé-ndoki national park in the republic of congo was recorded using a stick as if to gauge the depth of water whilst crossing a swamp. a second female was seen using a tree stump as a bridge and also as a support whilst fishing in the swamp. this means all of the great apes are now known to use tools.,gorilla,19.0
1543,"west­ern go­ril­las are also hunted il­le­gally in africa for their skins and their meat, which is served in restau­rants of large towns. the cap­ture and sale of go­rilla for zoos is un­doubt­edly eco­nom­i­cally prof­itable. the forests which the go­rillas de­pend on in africa are slowly being cut down for tim­ber.",gorilla,19.0
118,"hippos were extinct in northern africa by 1800 and south of natal and the transvaal by 1900. hippos recognize individuals by scent and sometimes follow one another nose-to-tail on night treks. young calves are vulnerable to crocodiles, lions, and hyenas.",hippopotamus,13.0
2545,"animals are ideally suited for a life in between the canopies of both the forest. they frequently have long limbs and flexible shoulder joints that enable them to easily move easily anywhere from branch pole to branch branch. they are primarily arboreal and even sleep in the tree tops. living group loosely organized in social groups consisting of 4 to 25 individuals, they are usually led by the alpha female.",spider+monkey,16.0
1684,"wolves live in nearly every undeveloped part of the northern hemisphere forests, plains, and arctic tundras all make suitable habitats for animal packs wolves prefer cold areas, so don’t expect to see them in the southern part of their continents. wolves are thought to date back more than 300,000 years!",wolf,31.0
428,"the international union for conservation of nature (iucn) and most animal scientists currently recognise only one species of animal with nine subspecies. during the 1900s, various taxonomies with two or three species were proposed. a 2011 study using detailed analyses of the morphology of animals described eight species of living animals. a 2016 study also concluded that living animales consist of multiple species. a 2021 whole genome sequencing study suggests the existence of four distinct species",giraffe,30.0
2583,"yellowstone national park is the only place in the us where bison have continuously lived since prehistoric times. yellowstone’s bison population was estimated at 4,900 as of july 2015. bison calves tend to be born from late march through may and are orange-red in color, earning them the nickname “red dogs”",buffalo,36.0
1327,"hippos eventually reached europe and asia, though climate changes and overhunting by humans had exterminated all species outside africa by the end of the pleistocene epoch (11,700 years ago) three species lived on madagascar until recent times; their extinction may have coincided with the arrival of humans about 1,000 years ago.",hippopotamus,13.0
510,"some north american insectivorous animals vibrate when at rest and content. recognition of mothers and babies involves both audible and ultrasonic sound. the animal's ear is extremely mobile and sensitive to sound the tragus, a lobe projecting in front of the ear opening, may have a sensory function.",bat,29.0
1159,"but the animal is losing its big beloved acacia trees, which are its main source of food. the iucn also lists four main primary threats to this species : habitat loss, civil unrest, illegal hog hunting, and substantial ecological changes. awf family has reforested acacia trees trees in west africa primarily to provide more food for the trapped animal.",giraffe,30.0
2847,"animals are omnivores, meaning they eat both plants and even other animals. animals can have a moderate tendency to bark, or especially when they become overly too excited for or bored. the rare animal does have a tendency to inherit from some eye problems and drug sensitivities. but compared to the average breed, the animal also has an overall excellent overall health record.",collie,45.0
2524,"the animal genome is around 29 billion base code pairs each in length. one of the proteins in pure animal and okapi genes, total 194 % three are identical. the divergence of animal lineages dates to around 115 mya. a small gene group of regulatory matrix genes in the animal appear to be responsible for developing the animal's stature and associated chemical circulatory adaptations.",giraffe,30.0
1131,"genetic analysis suggests that the lineages leading to modern humans and animals diverged from each other between 65 million and 93 million years ago. at least 98 percent of the human and animal genomes are identical. animals are classified taxonomically as a single species, pan troglodytes.",chimpanzee,24.0
1670,animals can travel at speeds out of up to under 10 miles per hour. it ’ s legal enough to temporarily keep a domestic animal as a pet in 17 states. animals spray their repellent as a defense mechanism and to mark their territory. most vietnamese people overseas who have animals as a pets only have their scent preservation glands already removed.,skunk,10.0
3299,"animals are about twice the size of a house mouse and up to 20cm long. they live in woods, woods and rough grassy banks, absent from ireland. animals eat mainly voles and mice, some of which may be caught in their burrows.",weasel,34.0
2788,the white animal is a variety of the animal bred in the united states. it was developed in the 1970s and 1980s to correct behavioural and conformational issues that have been bred into modern animals. the variety is recognized as a separate breed by the united kennel club.,german+shepherd,7.0
464,", published a documented incident they had recorded in 2019 in the journal ""marine and freshwater research"" of a group of great white sharks exhibiting pack-like behavior to successfully attack and kill a live adult animal. the sharks utilized the classic attack strategy they utilized on pinnipeds such as seals and sea lions when attacking the animal, even utilizing the bite-and-spit tactic they employ on said prey items. the incident is the first known documentation of great whites",humpback+whale,17.0
1533,"g. peralta is endemic to southwestern niger. it is the most endangered subspecies within giraffa, with 400 individuals remaining in the wild. animals in cameroon were formerly believed to belong to this species, but are actually g c antiquorum. the west african animal was more closely related to rothschild's animal than the kordofan.",giraffe,30.0
2897,"shrew rats belong to the subfamily of old world rats and mice (murinae) within the family muridae of the order rodentia. greater sulawesian shrew rats (genus tateomys) forage for earthworms at night, and the lesser sulawesan shrew rat (melasmothrix naso) exploits the same resource during the day.",mouse,43.0
947,"animal (balaenoptera musculus) is a marine mammal belonging to the baleen animal parvorder mysticeti reaching a maximum confirmed length of 299 metres (98 ft) and weighing up to 199 tonnes (196 long tons; 219 short tons), it is the largest animal known to have ever existed. the animal's long and slender body can be various shades of greyish-animal dorsally and somewhat lighter underneath.",blue+whale,8.0
2738,cnn. com will feature ireporter photos in a weekly travel snapshots gallery. please submit your three best shots inside of the u. of s. for the next week. visit at cnn. com / huffington travel next wednesday night for a new gallery of snapshots. visit the gallery online for a a weekly selection of snapshots from across even the globe.,buffalo,36.0
1777,"animals are powerful swimmers, and they use their massive tail fin, called a fluke, to propel themselves through the water and sometimes completely out of it. scientists aren't sure if this breaching behavior serves some purpose, such as cleaning pests from the animal's skin, or whether animals simply do it for fun.",humpback+whale,17.0
120,"the northern elephant animal is one of the most prolific pinniped swimmers. they spend between 80 and 95 percent of their time underwater, only popping up to the surface for a quick breath before diving back down. the longest recorded trip was over 13,000 miles long and they spend 66 percent of the year in the high seas.",seal,23.0
2718,"the conservation status of the animal is currently unknown. animales live in arctic and sub-arctic regions of the world near the north pole. their life cycle heavily depends on sea ice, global warming and associated ice loss continues to be a threat for this and other arctic species.",Walrus,46.0
1744,"the traditional standard for height of a animal or a pony at maturity is 142 hands (58 inches, 147 cm) an animal 142 h or over is usually considered to be a animal and one less than 142 h a pony. the difference between animals and ponies may also include aspects of phenotype, including conformation and temperament.",horse,6.0
2431,"african animals are the largest land animals on earth. savanna animals are larger animals that roam the plains of sub-saharan africa. forest animals are smaller animals that live in the forests of central and west africa. both species are at risk of extinction, according to the international union for the conservation of nature.",elephant,18.0
83,"animals live in almost every habitat, from tropical rainforest to semiarid desert. they are predominantly herbivorous, subsisting on seeds and nuts, but many will eat insects and even small vertebrates. the teeth of sciurids follow the typical rodent pattern, with large incisors (for gnawing) that grow throughout life, and cheek teeth (for grinding) that are set back behind a wide gap, or diastema.",squirrel,26.0
2162,animals are a national treasure in china and are protected by law in their bamboo forest home. the animal has long been revered and can be found in chinese art dating back thousands of years. animals have also fascinated people living outside of china; french missionary pere armand david first described them in 1869.,giant+panda,38.0
2327,"asian and african animals are listed as endangered species. threatened by habitat loss and poaching, they are hunted for their ivory. in some parts of africa animals are abundant, and culling is practiced to prevent habitat destruction. a nine-year ban on the ivory trade was lifted in 1997.",elephant,18.0
949,"the grevy's animal has a population of just 1,966 to 2,447, according to iucn. the quagga, considered since 1984 to be a subspecies of plains animal, has been extinct since the 19th century. the last one died at the amsterdam zoo in 1883.",zebra,37.0
1255,"animals are a species of rodent that lives in the earth. they have a complex system of tunnels and chambers underneath soft, moist soil. their underground labyrinths provide defensive protection, a source of food, and an entire home for the animal. they are otherwise defenseless animals against humans and predators.",mole,11.0
2784,"the online etymology dictionary provides anecdotal linguistic evidence as as well cross as linguistic, saying instead that the term derivesprobably from old english * picg. originally "" my young new animal "" ( the word earlier for adults was swine ) apparently related perhaps to low german bigge, dutch or big ( "" but the phonology is difficult "" - - 1 oed )",pig,41.0
1973,british columbia and lake washington resident populations are present amongst arguably the most intensively studied live marine mammals anywhere inhabited in the world. researchers there have identified and named over 300 animals over the past 30 years. transients roam widely along throughout the coast ; some individuals have even been reported sighted in both southern alaska and northwestern california.,killer+whale,2.0
2504,"the largest rhino species is the white rhino, according to the san diego zoo. it grows to 12 to 13 feet (37 to 4 meters) long and up to 6 feet (18 m) from hoof to shoulder it weighs around 5,000 lbs (2,300 kilograms) the smallest rhino species is the sumatran rhino.",rhinoceros,27.0
2632,"little animal is generally a word used to refer to a small carnivoran mammal. animals are usually small, active predators with long and slender bodies and short legs. the large family mustelidae, or mustelids, today is often referred to as formally the "" animal family "" in the northeastern uk, as the alternative term "" animal "" usually refers to having the smallest species.",weasel,34.0
2863,"the mythical animal therefore has a special name as in malay, or badakapi. the animal would come when a fire was lit in the pine forest and thus stamp it back out. this legend was briefly depicted in the film the gods only must be crazy ( 1980 ) in 1974 a lavender rh inoceros tattoo symbol began to be used as a symbol of the gay community in north boston.",rhinoceros,27.0
1899,"animalen are used for plowing, for transport, for threshing grain by trampling, and for powering machines that grind grain or supply irrigation. animalen are commonly castrated adult male cattle; castration inhibits testosterone and aggression, which makes the males docile and safer.",ox,20.0
308,"until 2003, it was understood that the family moschidae (musk animal) was sister to cervidae. in 2003, a study by alexandre hassanin and colleagues revealed that bovidae form a clade sister to cervidae according to the study, cervaceae diverged from the bovids-moschidae clade 27 to 28 million years ago.",deer,39.0
2448,"the longest living wild animal exceeded 61 years in captivity. infant mortality rates are low, 001 deaths per year. hippopotami are nevertheless a fairly very social species, living in groups of about 20 to only 100 individuals. they lead very sedentary aquatic lives, typically resting most of the day and sometimes leaving their resting pools or at near dusk alone to feed.",hippopotamus,13.0
1140,"animals are a small group of mammals referred to as insectivores. their closest living relatives are shrews (family soricidae) the evolutionary history of animals extends to the eocene epoch (548 to 337 million years ago) of europe. 30 fossil genera have been identified from the middle eocene of europe, the oligocene in asia and the mediterranean region, and the late oligolithic in north america.",mole,11.0
2898,animals can be very gentle companions and family protectors with proper training and socialization. they are an ideal breed for active households as long as the dog is properly trained and handled. they may sometimes become anxious or even aggressive if not properly trained or handled. the intelligence and desire to work should make training fairly easy.,german+shepherd,7.0
1782,"the animal is highly very intelligent, agile, athletic, and clearly loves to play. the animals however are extremely fond of their farm people and will generally follow you around frequently and supervise your your every move. do and not get a siame bad if living with a chatty busybody would drive most you insane.",siamese+cat,9.0
1919,"learn about animals roosting habits, food habits, and their echolocation ability. the complex geanimal is the only group of mammals capable of flight. more than 1,200 species are currently recognized, and many are enormously abundant. some 100 million female mexican free-tailed animals form summer nursery colonies in texas.",bat,29.0
2637,"working animalen are taught to respond to the signals of the teamster, bullocky or animal-driver. these signals are given by verbal command and body language, reinforced by a goad, whip or a long pole. verbal commands for draft animals vary widely throughout the world.",ox,20.0
1342,"the cost of owning a animal will cost you a minimum of £105 per month after purchase and set-up costs and over £17,000 across their lifetime. treats shouldn’t make up more than 10% of their daily calorie intake as this can unbalance their diet. you should try to feed your dog at the same time every day.",german+shepherd,7.0
1115,"golden animals belong to the same branch on the phylogenetic tree as the tenrecs, called tenrecomorpha. while difficult to distinguish from each other, they are most easily distinguished from true animals by shovel-like patches on their noses. golden animals share a closer common ancestor with such existing afrosoricids as elephants, manatees and aardvarks than other placental mammals.",mole,11.0
1949,"animals remain solitary together except during breeding season, though once in colder hot climates the females may den up together. some striped animals are also omnivorous, feasting on insects, small small vertebrates, and eggs. hog - nosed animals and brazilian stink badgers have very elongated snouts adapted to rooting for grubs and other insects.",skunk,10.0
2772,"the best advice to follow is leave animals alone – baby ones included. young animals are able to spray by the time they are seven weeks old, and they won't hesitate to let you have it. texas department of health: animals are the primary carriers of rabies in texas.",skunk,10.0
1202,"the natural conservation status of arctic the animal world is currently unknown. animales live in arctic canada and other sub - tropical arctic regions of northern the world near the north pole. their life support cycle heavily depends on sea ice, however global warming and associated coastal ice loss continues to be a threat for this and other arctic species.",Walrus,46.0
346,"animales generally live to be about 20 to 30 years old in the wild. mothers nurse their young for over a year, and calves stay with their mothers for up to five years. animales only have two natural predators: orcas (killer whales) and polar bears.",Walrus,46.0
1619,"the modern domestic animal has a life expectancy of 25 to 30 years. the oldest verifiable record was old billy, a 19th-century animal that lived to the age of 62. specific terms are used to describe equine anatomy, different life stages, and colors and breeds.",horse,6.0
3101,"the average normal lifespan overall of a animal in the wild is relatively short, usually less than 15 years, although individuals that reach 12 years may live an additional nearly 15. often wild individuals may still live over 25 adult years and on rare occasions, around 60 years. captive animals tend occasionally to live longer, with median lifespans of 317 years for males alone and of 387 years for male females.",chimpanzee,24.0
622,"animal can reach branches up to 426 meters (140 ft) or higher above the ground. animal are excellent swimmers and are known to wade into water to eat aquatic plants. like giraffes, animal carefully select foods with less fiber and more concentrations of nutrients.",moose,15.0
1217,"animals use body language, facial expressions, hand-clapping, grooming, and kissing to communicate within their troop. an entire chimp community can sometimes have as many as 100 members, made up of many different family groups. youngsters must stay with their mother until age seven before they can survive on their own. female chimps give birth for the first time when they are between 12 and 15 years old.",chimpanzee,24.0
1809,"specifically there currently are 14 or different breeds of animal within the wider united kingdom. uk breeds livestock are divided up into two groups, ‘ as traditional farm animals ’ and ‘ modern animals ”. the modern farm animals include : the mont duroc animal and the landrace animal. a group of animals is called a herd and is made up of several different breeds.",pig,41.0
1681,"the american steppe bison or simply bison bison ( bison bison ), also commonly known as the american animal horse or simply animal, is likely an american species of bison that once roamed north america in fairly vast herds. its historical range, by 9000 bc, is best described as the great bison belt, a tract of rich grassland that ran from southwest alaska to the northwestern gulf of mexico. it nearly became extinct by a combination of commercial hunting and slaughter in the early 19th century and introduction of the bov",buffalo,36.0
3011,"the american bison was once the symbol of the great plains. vast herds roamed from canada to mexico providing food, clothing, and tools to the native people. the population that numbered in the millions has dwindled to near extinction. an ongoing conservation program has resulted in modest increases in their population. they are currently classified as near threatened by iucn’s red list.",buffalo,36.0
1828,"animals have good eyesight above and below the water, excellent hearing, and a good sense of touch. they have exceptionally sophisticated echolocation abilities, detecting the location and characteristics of prey and other objects in the water by emitting clicks and listening for echoes. dorsal fins also exhibit sexual dimorphism, with those of males about 18 m (59 ft) high.",killer+whale,2.0
2949,"this guide contains general health information important to all felines as well as information on genetic predispositions for animals. the conditions we will describe here have a significant rate of incidence or a strong impact upon this breed particularly, according to a general consensus among feline genetic researchers and veterinary practitioners. this does not mean your animal will have these problems, only that she may be more at risk than other animals.",persian+cat,5.0
264,"located in the southern hemisphere, antarctic animals occur mainly in relatively high latitude waters south of the "" antarctic convergence "" range and close to the ice edge in mid summer. pygmy animals are typically distributed north north of the antarctic convergence and are most abundant in waters off australia, madagascar, and in new zealand. an unnamed subspecies of terrestrial animal is found in in the southeastern pacific ocean, particularly in the chiloense mountain ecoregion, and migrates to increasingly lower global latitude areas.",blue+whale,8.0
1904,"there are 33 species of pinnipeds alive today, most of which are known as animals. the walrus is the only living member of the family odobenidae. all animals have feet shaped like fins, making them supreme swimmers. some species can hold their breath for up to two hours and dive to depths of more than 6,500 feet.",seal,23.0
307,"animals are now found in alaska, canada, and the northwestern united states. in canada, there are approximately 25,000 animals occupying british columbia, alberta, the yukon, the northwest territories, nunavut, and northern part of manitoba. in british columbia they inhabit approximately 90% of their original territory.",grizzly+bear,1.0
2338,"catholic monks living in the champagne region of france selectively bred, housed, and thus domesticated the european animal between 500 and 600 ad. today, the american animal breeders association, or arba, has over 30,000 members and recognizes 45 different breeds of animal. worldwide there are approximately 80 recognized breeds of domestic animal, with its own contribution and traits.",rabbit,28.0
2190,"there are about 90 species of animal in about 30 genera, of which about 15 species are endangered. gnus are sedentary in some places, but in others, such as serengeti national park, gnus travel between two different home ranges. migration can be very risky, but migration also supplies the gnus with food at different times of the year.",Antelope,0.0
2164,"hundreds of orcas, animals and other members of the animal family are held in captivity in the united states. the marine mammal protection act (mmpa), passed in 1972, makes it more difficult to capture marine mammals from the wild. in some parts of the world animals are killed in harpoon or drive hunts.",dolphin,49.0
1373,animals are among the few animals that regularly defecate in water. their droppings may cause a flu-like infection when contaminated water is ingested. it has never been demonstrated that the type of giardia animals carry causes giardiasis in humans. giardia cysts persist in the environment to infect a number of mammal hosts through the fecal-oral route.,beaver,3.0
2804,"bison are nearsighted - - who knew? while bison have relatively poor eyesight, they have excellent natural senses of smell vision and hearing. cows and male calves communicate using pig - like grunts, and during mating season, bulls can be heard by bellowing across sometimes long distances. southern bison populations can still be seen in wyoming's cheyenne national elk refuge.",buffalo,36.0
807,"animals live in the tropical rain forests of central and south america and occur as far north as mexico. they have long, lanky arms and prehensile (gripping) tails that enable them to move gracefully from branch to branch and tree to tree. they are social and gather in groups of up to two- or three-dozen animals.",spider+monkey,16.0
1710,"animals are beneficial members of the animal community. they help to control night-flying insects, in some instances pollinate flowers, and scatter the seeds of plants. their guano is rich in nitrogen and has been sold as fertilizer. animals are valuable subjects for study.",bat,29.0
584,"african animals have been admired throughout history for as symbols of courage and strength. the species has disappeared from 94 percent of its historic range and can only be found today in parts of sub-saharan africa. animal roars that can be heard from five miles away are second in size only to tigers. animal prides are the only cats that live in groups, which are called prides.",lion,42.0
2109,"animal puppies are born with a distinctive spotted pattern. the pattern is unique to every dal and starts showing up at around two weeks old. animals are on the larger end of medium-sized dog breeds, standing 19–24 inches. they can also be liver, blue, brindle, ""lemon"" or black and tan.",dalmatian,4.0
2628,"females of various harem - holding bat species benefit as males give them more valuable time for feeding, protection for their infant young, and additional protection from predators and harassment by outside males. among females in a given harem, a linear dominance hierarchy exists based only on the set time intervals at maturity which they join the group.",zebra,37.0
593,"the animal is a versatile dog that can be a police and military dog, guide and assistance dog, search and rescue dog, and detector dog. be prepared to provide plenty of exercise and mental stimulation. animals still work livestock on farms and ranches around the world, including the united states.",german+shepherd,7.0
2473,"animal facts: a baby animal is called a kit, a female a doe and a male a buck. animals are very social creatures that live in groups. they live in warrens — a series of tunnels and rooms that they dig underground. they can jump as high as 90 centimetres in one leap.",rabbit,28.0
682,"sea lions generate thrust, or forward propulsion, by bringing their fore-flippers together in big sweeping motions called “claps” when a sea lion “claps,” it stretches its flippers out to the sides and sweeps them down then it tucks its flippe into its body, forming a torpedo shape that glides easily through the water.",seal,23.0
1652,"animal have shoulder humps and large, curved horns. animal eat grass, shrubs, and leaves. animal can travel at speeds of up to 22 miles per hour. animal have no real natural predators. animal are covered in hair. animal live in woodland and grass pastures.",buffalo,36.0
1046,"sea animal awareness week spotlights the important role of sea animals in nearshore ecosystems of the north pacific ocean. the us is home to two species: the sea animal and the north american river animal. animals are part of the mustelidae family, which is a family of carnivorous mammals that includes skunks, weasels, wolverines and badgers.",otter,35.0
358,"wolves (canis lupus), are related to dogs, or more rightly, dogs are actually related to wolves. wolves and dogs are quite similar in many ways, however, in most cases, wolves are larger animals. wolves generally have longer legs than dogs. the animal has developed the capacity to survive in the most inhospitable climates.",wolf,31.0
2934,"bbison ever recorded weighed 1,270 kg (2,800 lb)[28] while there had been bulls estimated to be 1,400 kg (3,000 lb)[29] bbathabascae is significantly larger and heavier on average than bbbison while the number of recorded samples for the former was limited after the rediscovery of a relatively pure herd. elk island national park, which has wild populations of both wood and plains bison, has recorded maximum weights for bull",buffalo,36.0
404,"the lifespan of cattle raised for beef is significantly shortened. these animals are typically weaned at 6 to 10 months, live 3 to 5 months on range, and spend 4 to5 months being fattened in a feedlot. they are typically slaughtered at 15 to 20 months.",cow,48.0
2439,"riginally used as herding dogs in scotland and northern england, the rough animal dog has a beautiful, multicolored coat of long, rough-textured fur. well-known for their intelligence and ease of training, the most famous rough animals personality trait is devotion to their owner.",collie,45.0
2979,"in 2021, california animals were federally ranked as the fourth most incredibly popular animal breed in the world according to the animal fanciers'association. the first animal was supposedly presented at the first commercially organized large animal show, held in 1871 in the the crystal palace in london, southern england, organized by harrison alexander weir.",persian+cat,5.0
2237,"hippos are still found in the rivers and lakes of the northern democratic republic of the congo, uganda, tanzania and kenya. the hippo was identified as a vulnerable species on the iucn red list drawn up by the international union for conservation of nature (iucn) in may 2006, the hippo population was estimated to be between 125,000 and 150,000.",hippopotamus,13.0
3393,"animals communicate using a variety of soft clicks, whistle - like sounds and other distinctive vocalizations. they but also frequently use nonverbal communication systems by means of touch gestures and posturing. animals also display culture, something long believed to be extremely unique to humans ( and then possibly other primate species ) in may 2005, a discovery published in australia has found indo - pacific bottlenose animals teaching their young to use tools.",dolphin,49.0
3149,"rothschild's animal (g c rothschildi) may be an ecotype of g camelopardalis. it has sharply defined chestnut-coloured spots surrounded by mostly white lines, while undersides lack spotting. around 2,150 are thought to remain in the wild, with another 1,500 individuals belonging to the rothschild's ecotype.",giraffe,30.0
408,"giraffokeryx appeared 15 mya on the indian subcontinent and resembled an okapi or a small animal. giraffids like palaeotragus, shansitherium and samotherium appeared 14 mya and lived throughout africa and eurasia these animals had bare ossicones and small cranial sinuses.",giraffe,30.0
660,the hippo is considered to be extremely aggressive and has frequently been reported charging and attacking boats. small boats can easily be capsized by hippos and passengers can be injured or killed by the animals or drown. hippos generally breed well in captivity; birth rates are lower than in the wild.,hippopotamus,13.0
125,"the harbour animal and grey animal are on the red list for mammals. a animal covenant was signed in 1988 in bonn, germany. the treaty regulates the protection of the animals in the wadden sea. animal reservations are designated to prevent disruption to resting and nursing animals.",seal,23.0
2562,"animal venom is one of the most variably sized of mammals. it can range somewhere from 5 to 26 kilograms ( 10 to nearly 60 lb ), but is also usually between 5 and 12 kilograms ( 10 and 30 troy lb ) the smallest specimens live in southern temperate florida, usa while other those near the northern limits of the animal's range nevertheless tend to be the largest.",raccoon,47.0
